电影名,票房,电影类型
小门神,7860万,喜剧&动画&奇幻
云南虫谷,1.49亿,动作&冒险&奇幻
哆啦A梦：新·大雄的日本诞生,1.03亿,动画
机械战警,3.15亿,动作&犯罪&科幻
百鸟朝凤,8678万,剧情&音乐&历史
人间·喜剧,6237.7万,剧情&喜剧
十八洞村,1.06亿,剧情
名侦探柯南：业火的向日葵,8159万,动作&动画&冒险&悬疑
黄飞鸿之英雄有梦,1.82亿,剧情&动作&古装
非凡任务,1.56亿,剧情&动作&犯罪
北京爱情故事,4.06亿,剧情&爱情
冲上云霄,1.55亿,剧情
深海越狱,5079.19万,动作&冒险
雷神2：黑暗世界,3.44亿,动作&冒险&奇幻
傲娇与偏见,1.24亿,喜剧&爱情
睡在我上铺的兄弟,1.26亿,剧情&爱情
银魂,8067.1万,剧情&喜剧&动作&冒险
夏目友人帐,1.14亿,剧情&动画&奇幻
赛尔号大电影6：圣者无敌,1.08亿,喜剧&动画&冒险&奇幻&儿童
新乌龙院之笑闹江湖,1.29亿,喜剧&动作
古田军号,5169.39万,无分类
湮灭,6546.6万,剧情&惊悚&科幻
惊天破,1.13亿,剧情&动作&犯罪&悬疑
但丁密码,1.34亿,惊悚&悬疑
银翼杀手2049,7631.98万,惊悚&科幻
侏罗纪公园(3D),3.49亿,动作&冒险&科幻
佩小姐的奇幻城堡,1.18亿,冒险&奇幻
名侦探柯南：绀青之拳,2.29亿,动画&悬疑
分歧者2：绝地反击,1.1亿,爱情&动作&惊悚&冒险&科幻
决战中途岛,2.92亿,剧情&战争&历史
一生一世,2.28亿,剧情&爱情
罗曼蒂克消亡史,1.22亿,剧情&动作&悬疑
廉政风云,1.21亿,剧情&犯罪&悬疑
抢红,1588万,动作&犯罪
暴力街区,1.89亿,剧情&动作&犯罪
龙虾刑警,6819.88万,喜剧&动作&犯罪
一念天堂,8274万,剧情&喜剧
明日世界,1.18亿,冒险&悬疑&科幻
闺蜜,2.02亿,剧情&爱情
007：大破天幕杀机,3.77亿,动作&惊悚&恐怖&冒险
蝙蝠侠：黑暗骑士崛起,3.4亿,剧情&动作
航海王之黄金城,1.07亿,剧情&动作&动画
双子杀手,2.32亿,剧情&动作&科幻
高跟鞋先生,1.29亿,喜剧&爱情
博人-火影忍者剧场版,1.03亿,动作&动画&冒险
风暴,3.14亿,动作&犯罪
七十七天,1.02亿,剧情&冒险
天气预爆,1.22亿,喜剧&动作&奇幻
十万个冷笑话2,1.33亿,喜剧&动画&奇幻
常在你左右,4634.93万,犯罪&悬疑
幸福马上来,1亿,喜剧
痞子英雄：黎明升起,2.04亿,剧情&动作
鲨滩,1.01亿,剧情&惊悚&恐怖
海市蜃楼,1.09亿,无分类
重返·狼群,3276万,纪录片
小猪佩奇过大年,1.23亿,动画
上海堡垒,1.2亿,爱情&战争&科幻
四大名捕大结局,1.93亿,动作&古装&武侠
